IDENTITE_OPERATEUR;CODE_OPERATEUR;SIRET_ACTEUR;RCS_ACTEUR;ADRESSE_COMPLETE_ACTEUR;ATTRIB_RESS_NUM;DATE_DECLARATION_OPERATEUR
"Astorya SGI solution globale informatique";ASTO;"523625804 00027";Nantes;"9 RUE DU PETIT CHATELIER 44300 NANTES";0;05/01/2017
"AT&T global network services France SAS";ATTG;"422399279 00161";NANTERRE;"TOUR ALTO 1 PLACE ZAHA HADID 92400 COURBEVOIE";1;12/01/2005
Atelsys;ATSS;"429470461 00014";Dijon;"25B RUE DU PROFESSEUR LOUIS NEEL 21600 LONGVIC";0;20/05/2020
aTgT;ATGT;"812524213 00012";Paris;"148 RUE DE L UNIVERSITE 75007 PARIS";0;27/11/2019
"Atheo ingenierie";ATHE;"795151885 00030";Strasbourg;"13 RUE HANNAH ARENDT 67200 STRASBOURG";0;05/06/2019
"Atlasinvest OU";ATST;;"14763523 Registre du commerce du comt\xe9 de Tartu (Estonie)";"HARJU MAAKOND KUUSALU VALD - PUDISOO K\xdcLA 74626 M\xc4NNIM\xc4E";1;17/07/2020
"atms Telefon- & Marketing Services GmbH";ATMA;;ATU51308400;"LEONARD-BERNSTEIN-STR. 10 A-1220 VIENNE AUTRICHE";0;26/09/2018
"Atos Belgium NV";ATBL;;"Reg. du commerce belge sous n\xb0 0401.848.135";"DA VINCILAAN 5 1930 ZAVENTEM BELGIQUE";0;10/11/2021
"Atos France sas";ATFR;"408024719 00572";Cergy;"80 QUAI VOLTAIRE 95870 BEZONS";0;01/02/2022
"ATS operateur";ATSO;"797855160 00017";STRASBOURG;"19A RUE ICARE 67960 ENTZHEIM";0;02/01/2022
Auditelecom;AUOM;"814977013 00014";"LE MANS";"26 BOULEVARD PIERRE LEFAUCHEUX 72100 LE MANS";0;21/09/2018
"Auralis Op\xe9rateur";AURL;"944812833 00019";N\xeemes;"295 ROUTE DE VEZENOBRE 30360 MARTIGNARGUES";0;10/06/2025
Auranext;EMOD;"450826870 00021";NANTERRE;"202 QUAI DE CLICHY 92110 CLICHY";1;04/07/2016
"AUVERGNE TRES HAUT DEBIT";ATHD;"529193054 00010";PARIS;"32 RUE DU CLOS NOTRE DAME 63100 CLERMONT FERRAND";0;24/07/2013
"Ava telecom ood";AVAT;;"207595271 Sofia (Bulgaria)";"93 EKZARCH YOSSIF 1000 SOFIA BULGARIE";1;21/11/2023
"AVANTI TELECOM";AVAN;"451739908 00023";NANTES;"LA CHANTRERIE 9 RUE ALFRED KASTLER 44307 NANTES CEDEX 03";0;21/03/2012
"Avizeo telecom";AVZE;"524626983 00018";Aix-en-Provence;"43 AVENUE MAL DE LATTRE DE TASSIGNY 13090 AIX EN PROVENCE";0;20/09/2021
"AVM Informatique";AVMI;"327411948 00034";LYON;"IMMEUBLE LE RIVER SIDE 45 AVENUE LECLERC 69007 LYON";1;19/06/2013
"Avoxi, inc.";AVXI;;"UBI 	604759666 Washington, USA";"300 GALLERIA PARKWAY - SUITE 1040 GA 30339 ATLANTA ETATS-UNIS";1;12/07/2023
"Axalone France";AXAL;"441884277 00043";"441 884 277 RCS Evry";"IMMEUBLE LE CEYLAN - 1ER ETG 6 ALL\xc9E DE LONDRES 91140 VILLEJUST";1;24/02/2012
"AXE INTERNATIONAL";AXEI;"520148800 00037";VERSAILLES;"12 AV RENE DUGUAY-TROUIN 78960 VOISINS LE BRETONNEUX";0;02/05/2013
Axialys;AXLY;"353210446 00053";Nanterre;"68 RUE MARJOLIN 92300 LEVALLOIS-PERRET";1;23/01/2008
Axione;AXIO;"449586544 00933";Nanterre;"152 AVENUE PIERRE BROSSOLETTE 92240 MALAKOFF";1;20/10/2003
"Axione Limousin";AXLI;"484127238 00018";Gu\xe9ret;"ZONE D'ACTIVIT\xc9 LA VARENNE RUE JOHANNES GUTENBERG 23000 GUERET CEDEX";1;18/11/2005
"Axup by b'com";AXCO;"798160669 00015";N\xeemes;"715 CHEMIN DU CHAI 30900 NIMES";0;17/02/2016
"Axxes interactive";AXXS;"504897661 00014";"FORT DE FRANCE";"IMMEUBLE CPL ZI DE CALIFORNIE 3 LOTISSEMENT LA TROMPEUSE 97232 LE LAMENTIN";0;17/12/2021
"AZ Telecom";AZTL;793396201;Nice;"2 AVENUE BAQUIS 06000 NICE";0;17/09/2018
"AZA Telecom";AZAI;"531151470 00055";Albi;"ZAC ECO 2 RIEUMAS 3 AVENUE DE LA PELATIE 81150 MARSAC-SUR-TARN";1;03/10/2011
Azal\xe9e;IPAR;"509649745 00015";Evreux;"2247 VOIE DE L'OREE 27100 VAL DE REUIL";1;14/01/2009
"AZN GLOBAL SRL";AZNG;;"07309178630730917863 Brussels, Belgique";"QUAI AU BOIS A BRULER 3 1000 BRUSSELS BRUSSELS BELGIQUE";0;07/10/2024
"Azur consulting";AZCO;"815113246 00038";Grenoble;"LE FORUM SAINT MARTIN 36 RUE DES VINGT TOISES 38950 SAINT-MARTIN-LE-VINOUX";1;01/06/2018
"Azur IP";AZIP;"804577211 00019";Nice;"17 AVENUE FRANCOIS MITTERRAND 06300 NICE";0;22/09/2014
AZYLIS;AZYL;"495199325 00038";Besan\xe7on;"5 RUE GAUTHIER 25530 VERCEL VILLEDIEU LE CAMP";0;18/06/2007
"B consulting";BCON;"823215116 00018";Grenoble;"350 CHEMIN DU PRE NEUF 38350 LA MURE";1;28/03/2017
"B2 network";B2NW;"793496662 00024";Clermont-Ferrand;"15 RUE JEAN CLARET 63000 CLERMONT-FERRAND";0;19/08/2023
"B2YOU S.R.L.";B2YO;;"13450720159 MILANO";"VIALE COL DI LANA, 12 20136 MILANO ITALIE";0;14/06/2010
"BAWAY Mobile Services OU";BWAY;;"17132674 Tallinn, Estonie";"HARJU MAAKOND 1-1501 KRISTIINE LINNAOSA SEEBI 11316 TALLINN ESTONIE";0;11/04/2025
Bazile;BAZI;"484661434 00023";Aix;"PARC DU GOLF 11 B RUE GUILIBERT DE LA LAUZI\xc8RE CS80483 13592 AIX EN PROVENCE CEDEX 3";1;11/02/2009
BBS;BBSI;"399036425 00078";CHARTRES;"5 RUE FACEL VEGA 28100 DREUX";1;05/07/2013
"BD MULTI-MEDIA";BDMA;"334517562 00016";Paris;"16 CITE JOLY 75011 PARIS";1;17/11/2004
"BE ACTIV'IT";BEAC;"750661472 00019";Arras;"6 RUE DU GENERAL BARBOT 62223 SAINT-LAURENT-BLANGY";0;08/02/2021
"Be2be telecom";BE2B;"790066278 00017";Nanterre;"5 RUE DU 4 SEPTEMBRE 92500 RUEIL-MALMAISON";0;07/07/2019
"Beaugrand SAS";BGRD;"947932828 00017";nimes;"55 BIS GRAND RUE JEAN MOULIN 30100 ALES";0;08/07/2024
"Bee Technology";BEET;"507715365 00015";"Saint Denis";"STE CLOTILDE 43 RUE DES JACINTHES 97490 ST DENIS";1;09/01/2009
"BELGACOM INTERNATIONAL CARRIER SERVICES FRANCE SAS";SWIS;"422588285 00011";Paris;"3 RUE DU COLONEL MOLL 75017 PARIS";0;15/10/1999
"Bell vision";BELL;"412912164 00040";SAINT-NAZAIRE;"39 RUE DE LA FONDELINE 44600 SAINT -NAZAIRE";0;16/11/2012
"BERRY THD";BTHD;893273524;Bourges;"39 AVENUE JEAN JAURES 18100 VIERZON";0;18/03/2021
"Bersam telephone";BERS;"350720413 00052";Avignon;"LOTISSEMENT BAIGNE PIEDS 335 RUE DES JONCS DES BOIS 84000 AVIGNON";1;06/06/2017
"Bet Shore";BTSH;;"Registre du Maroc 4263";"CHEZ MARKETING CALL CENTER 98 AVENUE AMIR FAL OULD OUMEIR 10080 RABAT MAROC";0;24/08/2021
"BFC fibre";BFCF;"824500557 00023";Dijon;"7 RUE JOLIET 21000 DIJON";0;18/04/2018
BG-Consulting;BGCO;"920366895 00018";Montpellier;"24 RUE DE LA CADOULE 34740 VENDARGUES";0;09/11/2022
BICS;BICS;;BE0866977981;"RUE J. LEBEAU 4 1000 BRUXELLES BELGIQUE";1;18/03/2016
"Bird B.V.";MESS;;"N\xb0 51874474";"KEIZERSGRACHT 268 1016 EV AMSTERDAM PAYS-BAS";1;15/03/2019
"Bitcall LTD";BTCL;;"15288134 London, Royaume-Uni";"124 CITY ROAD EC1V 2NX LONDON LONDON ROYAUME-UNI";0;25/06/2025
"Bits brothers";BIBR;"797692019 00012";Paris;"53 RUE CLAUDE TERRASSE 75016 PARIS";1;11/06/2018
"BJT Partners";BJTP;"480234210 00031";Paris;"50 B RUE MAURICE ARNOUX 92120 MONTROUGE";1;27/03/2006
Blue-Infra;BLUE;"797914405 00023";"Le Mans";"163 RUE DU CANAL 27500 PONT-AUDEMER";0;04/11/2013
Bluecom;BLOM;"409966694 00047";Brest;"305 RUE JURIEN DE LA GRAVIERE 29200 BREST";0;29/07/2016
"Bon communication systeme";BCMS;"347839433 00062";Lyon;"21 BIS RUE DES FRERES LUMIERE 69680 CHASSIEU";0;14/03/2022
"Bookline Solutions SL";BKLN;;"B67505032 Catalogne Espagne";"MUNTANER 200 08036 BARCELONA BARCELONA ESPAGNE";1;23/01/2025
Bouchecousue;BCCS;"518981030 00027";Paris;"11 RUE MARSOLLIER 75002 PARIS";0;17/05/2022
"Bouygues E&S FM France";EXMM;"381762038 00325";VERSAILLES;"19 RUE STEPHENSON 78180 MONTIGNY-LE-BRETONNEUX";0;19/07/2012
"Bouygues Telecom";BOUY;"397480930 03464";Nanterre;"LE TECHNOP\xd4LE 13-15 AVENUE DU MAR\xc9CHAL JUIN 92360 MEUDON CEDEX";1;08/12/1994
"Boyau Mathieu";VRSN;"449938661 00021";Bourges;"11 RUE SALVADOR ALLENDE 18500 FOECY";0;06/06/2022
"Bretagne Telecom";BRET;"483400628 00028";Rennes;"ZI DE BELLEVUE RUE BLAISE PASCAL 35220 CHATEAUBOURG";1;03/04/2006
"Broadsoft Germany GmbH";BRGE;;"80257 D\xfcsseldorf";"LOTHRINGERSTR. 56 50677 K\xd6LN NORDRHEIN-WESTFALEN ALLEMAGNE";0;11/05/2023
"BSC system";BSCS;"809009962 00022";Gonesse;"17 RUE GAY LUSSAC 95500 GONESSE";0;17/06/2021
"BSG Estonia OU";BSGE;;"Tallinn, Estonia. Register code 12974765";"HARJU MAAKOND 25-47 PAE 11414 TALLINN ESTONIE";1;27/07/2021
"BSO NETWORK SOLUTIONS";BSOC;"452456585 00051";Paris;"4 AVENUE PABLO PICASSO 92000 NANTERRE";0;27/09/2006
"BT France";BTSI;"702032145 00162";Nanterre;"TOUR ARIANE 5 PLACE DE LA PYRAMIDE BP 22 92088 PARIS LA DEFENSE CEDEX";1;20/11/2006
"Bull SAS";BLLS;"642058739 00839";Versailles;"68 AV JEAN JAURES 78340 LES CLAYES-SOUS-BOIS";0;10/11/2021
"Bureau Copie System";BCSY;"328319793 00035";Melun;"53 SAINT-MERRY 77300 FONTAINEBLEAU";0;22/09/2022
"Bureaux evolution";BUEV;"414948950 00053";Foix;"ZA GABRIELAT RUE DU CRIEU 09100 PAMIERS";0;27/02/2020
"Burotec 40";BR40;"501379168 00021";"MONT DE MARSAN";"ZI MAMOURA 327 ALL DE MAMOURA 40090 SAINT-AVIT";0;01/03/2023
"Business telecom";BUTE;"751647389 00012";Perpignan;"5 RUE DU MOULINAS 66330 CABESTANY";0;05/03/2020
"Buzzee telecom";BZZT;"909131385 00017";Nanterre;"1-7 COURS VALMY 92800 PUTEAUX";0;28/02/2022
"Byon GmbH";BBNN;;"HRB131855 Frankfurt-am-Main, Allemagne";"SOLMSSTRASSE 71 60486 FRANKFURT-AM-MAIN ALLEMAGNE";0;11/02/2025
"C&C medias telecom";CCMT;"832308076 00013";CASTRES;"577 AVENUE DES TERRES NOIRES 81370 SAINT SULPICE LA POINTE";0;07/11/2019
C2IP;C2IP;"449600642 00036";"Chalon sur Sa\xf4ne";"4 RUE DES FOSSES 71390 BUXY";0;07/10/2009
"Calade technologies";CALA;"478715766 00042";Marseille;"POLE MEDIA 37 RUE GUIBAL 13003 MARSEILLE";1;27/08/2014
"Call factory Ltd";CFRY;;"Registre de Sofia 201938261";"2 PRESPA STREET 1000 SOFIA BULGARIE";1;14/01/2020
"Calladata2021 S.L.";CLDT;;"B16945131 Malaga, Espagne";"CENTRO DE NEGOCIA PUERTA, 13 29660 MARBELLA ESPAGNE";1;03/01/2024
Callink;CLNK;"827583485 00038";Perpignan;"188 RUE EUCLIDE 34000 MONTPELLIER";0;13/02/2023
"Calltower Inc.";CLTW;"982927816 00016";Paris;"10701 S RIVER FRONT PKWY SUITE 450 UT 84095 SOUTH JORDAN UTAH ETATS-UNIS";0;25/06/2024
"Canal+ Telecom";MIAS;"351555792 00214";"Pointe \xe0 Pitre";"ZAC DE MOUDONG CENTRE 97122 BAIE-MAHAULT";1;21/01/2003
Cantoo;CNTO;"909996803 00013";Cahors;"245 MAS DE LAROQUE 46140 CAILLAC";1;02/03/2022
Capacom;CPOM;"539179515 00025";Paris;"41 BOULEVARD DES CAPUCINES 75002 PARIS";1;26/01/2012
"CAPAIX CONNECTIC";CAPA;"509046520 00011";Aix;"163 QUAI DU DOCTEUR DERVAUX 92601 ASNI\xc8RES-SUR-SEINE CEDEX";0;05/01/2009
"CAPS TRES HAUT DEBIT";CAPS;"529193377 00015";EVRY;"PARC ORSAY UNIVERSITE 2 RUE JEAN ROSTAND 91893 ORSAY CEDEX";0;22/06/2011
"Caraibes telecom";CATL;"388470528 00026";Pointe-\xe0-Pitre;"IMMEUBLE COLORADO ZAC MOUDONG CENTRE 97122 BAIE MAHAULT";0;08/09/2022
Carrier2;CRR2;;"341595500 Amsterdam";"NIEUWE HEMWEG 26 1013 CX AMSTERDAM PAYS-BAS";1;24/11/2022
Cartridg'eco;CRTD;"493399836 00029";BOBIGNY;"35 AVENUE DUMONT 93600 AULNAY SOUS BOIS";0;07/09/2021
CAT;AKEO;"401923859 00011";EVREUX;"66 GRANDE RUE 27940 PORT-MORT";1;17/10/2013
"Caux telecom";CAUX;"818106767 00010";Rouen;"955 RUE DES RENARDS 76190 SAINTE-MARIE-DES-CHAMPS";0;14/04/2017
"CB Tel";CBTE;"832848725 00012";Dijon;"20 ROUTE DE BEAUNE 21340 LA ROCHEPOT";0;19/04/2018
"CC MEDIA";CCMD;"394623151 00047";Marseille;"25 RUE SAINTE 13001 MARSEILLE";0;19/05/2005
CDA;CDAC;"789270378 00027";Marseille;"12 BOULEVARD D'ATHENES 13001 MARSEILLE";1;05/05/2017
"CDK global (France) SAS";CDKG;"572159895 00075";Paris;"LE VISALTO 8 BOULEVARD D'INDOCHINE 75019 PARIS";0;16/04/2018
"CDX Telecom";CDXT;"797828290 00016";Meaux;"1 RUE ALBERT EINSTEIN 77420 CHAMPS SUR MARNE";1;14/05/2014
"Cegedim IT";CGIT;"790173066 00016";Nanterre;"137 RUE D AGUESSEAU 92100 BOULOGNE BILLANCOURT";0;05/02/2015
Cekoya;SNOT;"520615170 00021";NIMES;"314 RUE LE CORBUSIER 30000 NIMES";0;22/10/2012
Celaho;CELH;"804292423 00014";Bourg-en-Bresse;"LES FENIERES BAT B 110 ALLEE DES LILAS 01150 SAINT VULBAS";0;24/02/2023
Celeonet;CLEO;"450734744 00078";Cr\xe9teil;"43 AVENUE LOUIS LUC 94600 CHOISY-LE-ROI";1;17/11/2020
Celeste;ADSL;"439905837 00027";Meaux;"20 RUE ALBERT EINSTEIN 77420 CHAMPS SUR MARNE";1;08/03/2006
"Cellhire (France)";CEHI;"415291715 00076";Nanterre;"22 QUAI GALLIENI 92150 SURESNES";1;15/11/2017
Celya;CELY;"384585824 00053";Nantes;"298 ROUTE DE VANNES 44700 ORVAULT";1;15/10/2009
"Central Com Entreprise";CCEE;"505387936 00014";Rennes;"ANGLE RUE JEAN MONNET 2 RUE DE LA VIEILLE VILLE BP 60215 35600 REDON";0;09/05/2019
"Centre ouest antennes";CEOA;"339167850 00066";"LA ROCHELLE";"14 RUE MARCO POLO 17440 AYTRE";0;22/03/2022
"Centrex Outremer";CETR;"831544770 00017";Pointe-\xe0-Pitre;"CENTRE COMMERCIAL BOISRIPEAUX-LOT 2 97139 LES ABYMES";0;12/12/2017
Cesept;CSPT;"837683242 00015";Cr\xe9teil;"13 AVENUE DE LA DIVISION LECLERC 94230 CACHAN";0;27/07/2021
"Champagne reprographie";CHMP;"482088028 00014";Reims;"6 BIS RUE DE L INDUSTRIE 51350 CORMONTREUIL";0;28/02/2023
"Charente-Maritime Tr\xe8s Haut D\xe9bit";CMTD;"824500573 00020";"La Rochelle";"24/28 AVENUE LOUIS LUMIERE 17180 PERIGNY";0;07/03/2018
"CHARTIER Maxime";VRLP;"894948660 00010";Oroux;"4 LES BASSES NOUES 79390 OROUX";0;05/04/2024
"Chartres m\xe9tropole innovations num\xe9riques";CMIN;"815389481 00012";Chartres;"HOTEL DE VILLE PLACE DES HALLES 28000 CHARTRES";0;28/12/2015
"Cheops Informatique et Gestion";CHPS;"409698925 00057";"Lille Metropole";"54 RUE VICTOR HUGO 59200 TOURCOING";0;19/04/2024
"CIEL TELECOM";CITE;"478515059 00051";"Le Mans";"4 RUE DU DAHOMEY 75011 PARIS";0;14/06/2010
"CIM informatique";CIMI;"419081724 00025";"LE PUY-EN-VELAY";"ZA TAULHAC 286 RUE JEAN BRENAS 43000 LE PUY-EN-VELAY";0;21/06/2023
"Cisco international Limited";CSCO;;"06640658 London";"MIDDLESEX 9-11 NEW SQUARE BEDFONT LAKES TW14 8HA FELTHAM ROYAUME-UNI";1;15/05/2023
CityFast;MIRO;"843934696 00017";Paris;"59 AVENUE PIERRE MENDES FRANCE 75013 PARIS";0;30/11/2018
"claireLOGIC Corporate Ltd";CLGC;;"7604951 UK Company Registered with Companies House";"VINEYARD 11 THE CHAMBERS OX14 3PX ABINGDON ROYAUME-UNI";1;24/07/2023
"Clem com LTD";CLOM;;20431/4249;"3 RUE SEBASTOPOL 00230 PORT LOUIS MAURICE";1;16/01/2019
"Click info";CLCK;"808807135 00021";Bourg-en-Bresse;"5 RUE DES CASCADES 01590 DORTAN AIN";0;08/12/2023
"Cloud SI";CLDS;"845059625 00028";Valenciennes;"39 RUE PASTEUR 59282 DOUCHY LES MINES";0;10/06/2022
"Cloud telecom";CLTE;"890811094 00014";Bobigny;"12-34 RUE DES CHARDONNERETS BP 59424 93290 TREMBLAY EN FRANCE ROISSY CDG CEDEX";1;12/11/2020
CLOUD-IT;CLIT;"753563501 00018";ARRAS;"CENTRE FLEMING AVENUE FLEMING 62400 BETHUNE";0;15/04/2013
"Cloudtalk s.r.o.";CLLK;;"46 817 832 Slovaquie";"TALLEROVA 4 811 02 BRATISLAVIA SLOVAQUIE";1;25/11/2022
Clyb;CLYB;"910489145 00011";Angers;"4 RUE DES ROQUETTES 49500 SEGRE";0;21/12/2024
"CM Telecom France";CMTF;802946715;Paris;"250 BIS BOULEVARD SAINT-GERMAIN 75007 PARIS";1;26/06/2014
CMRP;CMRP;"451470348 00017";Versailles;"5 RUE DU CHANT DES OISEAUX 78360 MONTESSON";1;14/10/2008
Co-assist;COAS;"810063834 00065";"Le Havre";"23 RUE GEORGES HEUILLARD 76600 LE HAVRE";0;27/11/2023
Colibriwithus;COLI;"480607894 00031";Nanterre;"174 BUREAUX DE LA COLLINE 1 RUE ROYALE 92213 ST CLOUD CEDEX";0;14/06/2006
"Collectivit\xe9 de Saint-Barth\xe9l\xe9my";CSBY;"219711231 00072";;"LA POINTE GUSTAVIA RUE DE PITEA BP113 97133 SAINT BARTHELEMY";0;30/04/2019
Colombia;COLO;"378077614 00030";Cr\xe9teil;"32 C AVENUE OUDINOT 94340 JOINVILLE-LE-PONT";1;24/10/2020
"Color telecom";MIXW;"525053617 00045";PARIS;"7 RUE DU QUATRE SEPTEMBRE 92170 VANVES";1;13/03/2018
"Colt technology services";COLT;"402628838 00136";Nanterre;"23 RUE PIERRE VALETTE 92247 MALAKOFF CEDEX";1;12/12/1996
"Com network";COMK;"480937366 00023";Aix-en-Provence;"DOMAINE DE TOURILLON RUE DENIS PAPIN 13857 AIX-EN-PROVENCE CEDEX 3";0;29/03/2018
"Com Unic";COUC;"477562060 00038";Annecy;"SEYNOD 47 AVENUE DU VAL VERT 74000 ANNECY";0;10/11/2017
Comcable;COMC;"382840940 00177";Paris;"5 BIS RUE DU PETIT ROBINSON 78350 JOUY-EN-JOSAS";1;27/10/2008
COMEVA;COME;"794145631 00014";CHATEAUROUX;"ZA LES CHAMPS DU BOIS 9 RUE LOUIS MALB\xc8TE 36130 DEOLS";0;12/09/2013
"Comin desk";COSK;"792012981 00025";Cr\xe9teil;"47 ROUTE DU PLESSIS TREVISE 94430 CHENNEVIERES SUR MARNE";0;14/06/2016
Comlink;COML;"807654439 00023";Arras;"184 RUE DU VIEUX CHATEAU 62220 CARVIN";0;05/07/2017
"Commify UK Limited";ESEN;"499204659 00019";Paris;"20 WOLLATON STREET NG1 5FW NOTTINGHAM ROYAUME-UNI";1;01/07/2014
"Comms Group Europe Pte Limited";CMMS;;"779721 Dublin";"NORTH POINT BUSINESS PARK UNIT 3D NORTH POINT HOUSE T23 AT2P CORK IRLANDE";0;18/02/2025
"Communaut\xe9 de communes du Golfe de Saint-Tropez";GSST;"200036077 00010";Cogolin;"2 RUE BLAISE PASCAL 83310 COGOLIN";0;28/04/2025
"Communaut\xe9 de communes du Pays de Bitche";CCPB;"200069441 00018";;"4 RUE DU GENERAL STUHL BP 80043 57232 BITCHE";0;31/01/2017
"Communication network managed";CNMD;"818061103 00011";N\xeemes;"46 ROUTE DE NIMES 30540 MILHAUD";0;11/07/2016
ComNot;COMN;"841006067 00018";Lyon;"15 CHEMIN DES HIRONDELLES 69570 DARDILLY";0;17/08/2018
"Compatel Limited";CLIM;;7456831;"FIRST FLOOR 85 GREAT PORTLAND STREET W1W 7LT LONDON ROYAUME-UNI";1;15/02/2011
Completel;COMP;"418299699 00417";NANTERRE;"ALTICE CAMPUS 16 RUE GENERAL ALAIN DE BOISSIEU 75015 PARIS";1;17/11/1998
"Comptoir normand de t\xe9l\xe9phonie";CNDT;"389815143 00018";"Le Havre";"17/21 QUAI NOTRE DAME 76600 LE HAVRE";0;24/01/2019
"Compugroup medical France";CGMF;479076929;Nanterre;"55 AV DES CHAMPS PIERREUX 92012 NANTERRE CEDEX";0;10/09/2015
"Computer finance";CFIN;"803363274 00017";Meaux;"PARC D'ENTREPRISES VAL D'EUROPE 4 BOULEVARD MICHAEL FARADAY 77716 MARNE LA VALLEE 4";0;09/10/2014
"Comunik CRM";COCR;"803492990 00012";Versailles;"6 AVENUE HASSEN IBN NOOMAN EL MENZAH 2091 ARIANA TUNISIE";1;18/01/2018
"Conexio telecom";CXTM;"824679815 00038";B\xe9ziers;"LE TRIANGLE 385 BOULEVARD ROBERT KOCH 34500 BEZIERS";0;05/12/2019
"Connect 76";CNCT;"834329336 00012";Bobigny;"CAMPUS SFR 12 RUE JEAN PHILIPPE RAMEAU CS 8001 93634 LA PLAINE SAINT DENIS CEDEX";0;01/02/2018
"Connect managed services (UK) Limited";CMSU;;02557464;"90 FENCHURCH STREET EC3M 4BY LONDON ROYAUME-UNI";1;23/08/2022
Connexing;CNXG;510819402;Nantes;"13 RUE DE LA RABOTIERE 44800 SAINT HERBLAIN";0;13/12/2022
Connexio;CXIO;"809685530 00036";Versailles;"22 RUE DES BOIS 78490 GALLUIS";0;16/09/2020
"Constellium Neuf-Brisach";CSTL;"807641360 00027";Colmar;"ZIP RHENANE NORD RD52 68600 BIESHEIM";1;09/10/2024
Consultic;CONS;;"BE 0679764617";"RUE CRONOS 5 7110 HOUDENG-GOEGNIES BELGIQUE";0;13/01/2023
"Content Guru Ltd";CORU;;"05653869 England";"EASTERN ROAD RADIUS COURT RG12 2UP BRACKNELL ROYAUME-UNI";0;06/09/2023
"Convergence internet protocole engeneering";CIPE;"518676440 00010";Paris;"18-20 RUE CLAUDE TILLIER 75012 PARIS";0;12/07/2017
"Cool telecom";CLTL;"885181180 00021";Paris;"50 RUE SAINT BLAISE 75020 PARIS";1;14/10/2021
"Coolwave communications Limited";COOL;;3610852KH;"SANDYFORD BUSINESS CENTER 6 SANDYFORD INDUSTRIAL EST DUBLIN 18 IRLANDE";1;12/12/2019
Copwell;COPW;"432354330 00040";Bobigny;"100 AVENUE DU GENERAL LECLERC 93500 PANTIN";0;27/06/2017
Coresystem;COSY;"804524544 00017";NICE;"NICE PREMIER BL33 455 PROMENADE DES ANGLAIS 06200 NICE";1;15/12/2015
"Coriolis telecom SAS";CORI;"419735741 00300";Nanterre;"2 RUE DU CAPITAINE SCOTT 75015 PARIS";1;30/06/2006
"Corsica fibra";CORF;"844052506 00020";Paris;"124 BOULEVARD DE VERDUN 92400 COURBEVOIE";0;28/12/2018
"Covage Infra";AUXO;"894565431 00018";Evreux;"2247 VOIE DE L OREE 27100 VAL DE REUIL";0;14/12/2021
CRH;CRHH;"750366544 00062";Cr\xe9teil;"20 RUE DU PONT DES HALLES 94516 RUNGIS CEDEX";1;21/04/2016
"CT hub";CTHU;"851682286 00014";Paris;"128 RUE LA BOETIE 75008 PARIS";1;16/07/2019
Cteky;CTEK;"531648632 00010";Saint-Malo;"22 BIS GRANDE RUE 22750 SAINT-JACUT-DE-LA-MER";1;27/09/2018
"CTS COMPUTERS AND TELECOMMUNICATIONS SYSTEMS";CTSC;"378499073 00047";Bobigny;"130 AVENUE DU PRESIDENT WILSON 93512 MONTREUIL CEDEX";0;12/09/2007
CTV;CTV8;"340140102 00039";"LA ROCHE-SUR-YON";"PARC D'ACTIVITES BEAUPUY 3-MOUILLERON- BP 107 85003 LA ROCHE-SUR-YON CEDEX";0;24/04/2013
CUBE;CUBE;"440554137 00032";Creteil;"12 RUE EMILE RASPAIL 94110 ARCUEIL";0;15/09/2011
"Cubic telecom France";CTFR;"812773091 00010";Paris;"LEVEL 5 VUITON 101 AVENUE DES CHAMPS ELYSEES 75008 PARIS";1;07/03/2016
Cyberxl;CBXL;"904049194 00015";"La Rochelle";"117 AVENUE DENFERT ROCHEREAU 17000 LA ROCHELLE";0;04/08/2023
Cyd-solutions;CYDS;"439047747 00043";Boulogne-sur-Mer;"53 RUE JEAN LEGRAND 62360 LA CAPELLE-LES-BOULOGNE";1;19/12/2018
"Cyllene ITS";CETS;"337958698 00108";Nanterre;"93-105 RUE VEUVE LACROIX 92000 NANTERRE";0;30/08/2006
D.One;DONE;"794588608 00040";Nancy;"16 RUE DE MALZEVILLE 54130 DOMMARTEMONT";0;13/01/2023
"Dami Dr\xf4me Ard\xe8che micro informatique";DAMI;"444333967 00016";Aubenas;"PARC CHAMPAGNE 07300 TOURNON-SUR-RHONE";0;20/12/2019
"Damovo Inc.";DAMV;;"4023744 Ohio USA";"ATRIUM 2 SUITE 2500 221 EAST 4TH STREET OH 45202 CINCINNATI OHIO ETATS-UNIS";0;25/09/2024
"Daotec ltd";DAOT;;04296038;"145-147 ST JOHN STREET EC1V4PY LONDRES ROYAUME-UNI";0;25/09/2018
Dashperf;DSPF;"949946917 00018";Rodez;"5 RUE PAVEE 12110 CRANSAC";0;31/03/2023
"Data consulting international";DCID;"838195378 00024";Paris;"88 BIS BOULEVARD NEY 75018 PARIS";1;14/10/2020
Data-It;DAIT;"813928090 00014";"Lille M\xe9tropole";"123 RUE DE CONDE BP 446 59021 LILLE CEDEX";0;25/02/2020
"Datacom Multim\xe9dia";DTCM;;"24S09770 Monaco";"CO MONSIEUR CHRISTIAN PASSERON 14 QUAI ANTOINE 1 ER 98000 MONACO MONACO";1;04/07/2024
Dataxion;DTXN;"534989611 00031";Nanterre;"199 BUREAU DE LA COLLINE 92210 SAINT CLOUD";0;24/06/2020
"Dauphin telecom";DAUF;"419964010 00062";"Basse Terre";"MARIGOT 12 RUE DE LA REPUBLIQUE 97150 SAINT-MARTIN";1;12/12/2002
